usuario_id;nome;idade;bairro;plano;dt_cadastro;ativo
USR-00132;Gabriel Lima;25;Jardim Iririú;Avulso;2022-01-18;False
USR-00133;Pedro Oliveira;54;Jardim Iririú;Mensal;2022-07-21;True
USR-00134;Rafael Lima;16;Saguaçu;Mensal;2023-08-21;False
USR-00135;Carlos Souza;33;Saguaçu;Anual;2022-05-11;True
USR-00136;Felipe Souza;25;Jardim Iririú;Mensal;2023-11-02;True
USR-00137;Mariana Pereira;24;Saguaçu;Anual;2022-11-19;True
USR-00138;Patricia Lima;50;Saguaçu;Mensal;2022-09-24;True
USR-00139;Patricia Santos;32;Iririú;Mensal;2024-01-06;False
USR-00140;Larissa Pereira;27;Iririú;Avulso;2023-03-02;True
USR-00141;Beatriz Mendes;23;Anita Garibaldi;Anual;2023-08-06;False
USR-00142;Carlos Lima;58;Jardim Iririú;Avulso;2024-05-02;True
USR-00143;Fernanda Ferreira;17;América;Mensal;2022-05-19;False
USR-00144;Leticia Lima;24;Jardim Iririú;Mensal;2024-02-11;True
USR-00145;Pedro Lima;16;Jardim Iririú;Avulso;2023-08-21;False
USR-00146;Mateus Santos;38;Glória;Anual;2024-09-16;True
USR-00147;Diego Ferreira;31;Glória;Mensal;2022-09-15;True
USR-00148;Gabriel Oliveira;53;Saguaçu;Mensal;2023-04-26;True
USR-00149;Felipe Oliveira;36;Centro;Avulso;2022-06-06;True
USR-00150;Mariana Souza;17;Iririú;Mensal;2024-08-21;False
USR-00151;Bruno Silva;27;Paranaguamirim;Mensal;2023-12-06;True
USR-00152;Fernanda Mendes;32;América;Mensal;2022-12-11;True
USR-00153;Patricia Mendes;19;Glória;Anual;2023-10-22;False
USR-00154;Carlos Silva;24;Jardim Iririú;Mensal;2022-03-20;True
USR-00155;Felipe Ferreira;63;Jardim Iririú;Mensal;2024-07-27;True
USR-00156;Carlos Mendes;42;Centro;Mensal;2023-09-11;False
USR-00157;Gabriel Santos;49;Centro;Avulso;2022-07-22;True
USR-00158;André Lima;23;Iririú;Mensal;2022-03-05;True
USR-00159;Diego Pereira;63;Glória;Anual;2023-06-08;False
USR-00160;Mateus Rocha;20;América;Mensal;2022-05-13;True
USR-00161;Felipe Oliveira;46;América;Mensal;2022-08-25;False
USR-00162;André Oliveira;44;Saguaçu;Anual;2023-06-10;True
USR-00163;Gabriel Silva;65;Saguaçu;Mensal;2024-12-19;True
USR-00164;Bruno Ferreira;39;Paranaguamirim;Avulso;2022-05-21;True
USR-00165;Patricia Lima;48;Itaum;Anual;2023-12-08;True
USR-00166;Carlos Mendes;53;Jardim Iririú;Mensal;2022-11-04;True
USR-00167;Mateus Mendes;22;Saguaçu;Avulso;2023-05-06;False
USR-00168;Carlos Pereira;44;Paranaguamirim;Mensal;2023-11-17;True
USR-00169;André Rocha;48;Centro;Anual;2024-05-23;False
USR-00170;Mariana Mendes;30;Jardim Iririú;Avulso;2022-11-10;True
USR-00171;Beatriz Souza;55;Saguaçu;Anual;2023-10-08;True
USR-00172;Patricia Silva;18;Bucarein;Mensal;2022-03-16;False
USR-00173;Fernanda Costa;62;Iririú;Mensal;2022-08-24;False
USR-00174;Patricia Ferreira;58;Saguaçu;Avulso;2024-06-14;True
USR-00175;Lucas Souza;49;Jardim Iririú;Avulso;2024-09-16;True
USR-00176;Felipe Lima;35;Paranaguamirim;Mensal;2024-11-27;True
USR-00177;Leticia Silva;45;Anita Garibaldi;Anual;2022-04-22;True
USR-00178;André Lima;57;Centro;Mensal;2024-02-17;True
USR-00179;Pedro Oliveira;17;Jardim Iririú;Mensal;2023-09-23;False
USR-00180;Camila Rocha;19;América;Mensal;2023-02-19;False
USR-00181;Beatriz Ferreira;46;Iririú;Anual;2022-01-27;True
USR-00182;Bruno Lima;41;América;Anual;2024-09-07;False
USR-00183;Fernanda Mendes;43;Paranaguamirim;Mensal;2024-09-05;False
USR-00184;Gabriel Mendes;59;Anita Garibaldi;Avulso;2022-06-28;False
USR-00185;Julia Pereira;22;Centro;Anual;2024-08-04;False
USR-00186;Ana Costa;47;Bucarein;Mensal;2024-04-23;True
USR-00187;Mateus Oliveira;61;Jardim Iririú;Mensal;2024-08-03;True
USR-00188;Ana Pereira;44;Jardim Iririú;Mensal;2024-08-26;True
USR-00189;Camila Ferreira;20;Paranaguamirim;Avulso;2022-08-05;True
USR-00190;Maria Rocha;21;Paranaguamirim;Anual;2024-07-15;True
USR-00191;Pedro Mendes;36;Saguaçu;Mensal;2024-01-18;True
USR-00192;Gabriel Costa;54;Anita Garibaldi;Anual;2023-11-26;True
USR-00193;André Costa;25;Iririú;Mensal;2023-12-01;True
USR-00194;Mateus Pereira;20;Iririú;Mensal;2023-05-27;False
USR-00195;Larissa Silva;24;Glória;Anual;2022-12-07;True
USR-00196;Mariana Mendes;33;Itaum;Avulso;2024-02-02;False
USR-00197;Fernanda Silva;55;Itaum;Avulso;2023-06-23;True
USR-00198;Diego Rocha;56;Iririú;Anual;2022-09-02;True
USR-00199;Julia Lima;53;Saguaçu;Anual;2022-08-02;True
USR-00200;Camila Mendes;51;Centro;Mensal;2023-07-06;True
USR-00201;Pedro Santos;61;;Mensal;2022-11-24;True
USR-00202;André Rocha;36;América;Anual;2024-07-12;True
USR-00203;Rafael Ferreira;40;Iririú;Anual;2023-08-28;False
USR-00204;Beatriz Mendes;54;América;Anual;2023-07-03;True
USR-00205;Mateus Silva;49;Paranaguamirim;Avulso;2024-11-28;False
USR-00206;Patricia Santos;34;Itaum;Avulso;2024-03-21;False
USR-00207;Bruno Ferreira;45;Glória;Avulso;2023-02-06;True
USR-00208;Mariana Silva;48;Glória;Anual;2024-07-17;True
USR-00209;Mariana Pereira;54;Saguaçu;Anual;2022-12-08;True
USR-00210;Gabriel Santos;43;Anita Garibaldi;Mensal;2022-01-10;False
USR-00211;Mateus Mendes;22;Iririú;Avulso;2023-11-24;True
USR-00212;Mateus Oliveira;60;América;Avulso;2024-07-18;True
USR-00213;Camila Ferreira;23;Saguaçu;Avulso;2023-04-08;False
USR-00214;Larissa Ferreira;57;Anita Garibaldi;Avulso;2023-06-05;True
USR-00215;Fernanda Mendes;57;Iririú;Anual;2023-04-24;True
USR-00216;Camila Santos;65;Glória;Mensal;2022-01-26;True
USR-00217;Beatriz Rocha;51;Itaum;Mensal;2024-07-20;True
USR-00218;Rafael Pereira;62;Anita Garibaldi;Mensal;2022-04-07;True
USR-00219;Diego Lima;29;Saguaçu;Anual;2022-02-20;True
USR-00220;Larissa Oliveira;43;América;Avulso;2022-08-20;False
USR-00221;Gabriel Ferreira;44;Glória;Anual;2024-12-28;True
USR-00222;Fernanda Costa;30;Paranaguamirim;Avulso;2022-04-24;False
USR-00223;Larissa Ferreira;42;Itaum;Anual;2022-07-15;True
USR-00224;Lucas Ferreira;37;Iririú;Mensal;2022-09-07;False
USR-00225;Carlos Lima;45;Anita Garibaldi;Mensal;2022-03-17;True
USR-00226;Leticia Mendes;41;Paranaguamirim;Mensal;2023-04-27;False
USR-00227;Rafael Mendes;42;América;Mensal;2024-10-11;False
USR-00228;Mariana Mendes;62;Itaum;Avulso;2024-10-25;True
USR-00229;Julia Costa;22;Paranaguamirim;Anual;2024-06-08;True
USR-00230;Mariana Rocha;36;Iririú;Avulso;2023-03-22;True
USR-00231;Maria Mendes;43;Centro;Anual;2024-04-14;True
USR-00232;Ana Santos;36;Iririú;Mensal;2023-05-02;True
USR-00233;Felipe Lima;58;Glória;Mensal;2024-10-24;True
USR-00234;Maria Santos;32;Anita Garibaldi;Mensal;2022-11-22;True
USR-00235;Fernanda Silva;39;Bucarein;Anual;2023-09-16;True
USR-00236;Ana Mendes;25;Iririú;Mensal;2022-06-21;True
USR-00237;Maria Pereira;59;Jardim Iririú;Avulso;2024-07-26;True
USR-00238;Rafael Mendes;46;Bucarein;Avulso;2024-06-23;True
USR-00239;Pedro Oliveira;20;Bucarein;Avulso;2023-07-05;True
USR-00240;Larissa Lima;21;Anita Garibaldi;Anual;2023-07-06;True
USR-00241;Ana Souza;21;Anita Garibaldi;Avulso;2024-08-08;False
USR-00242;Beatriz Souza;21;América;Mensal;2022-05-28;False
USR-00243;Larissa Mendes;43;Glória;Anual;2024-03-26;True
USR-00244;Lucas Oliveira;22;América;Mensal;2023-01-18;False
USR-00245;Fernanda Oliveira;63;Paranaguamirim;Anual;2023-07-18;True
USR-00246;Gabriel Mendes;63;Paranaguamirim;Avulso;2024-03-13;True
USR-00247;André Costa;39;Paranaguamirim;Mensal;2022-05-07;False
USR-00248;Patricia Pereira;24;Centro;Mensal;2023-11-03;False
USR-00249;Gabriel Costa;51;Iririú;Anual;2023-06-03;True
USR-00250;Mariana Pereira;19;Saguaçu;Mensal;2024-12-27;True
USR-00251;Ana Mendes;53;Anita Garibaldi;Avulso;2022-01-09;False
USR-00252;Mariana Silva;51;Saguaçu;Anual;2023-11-20;False
USR-00253;Patricia Souza;51;Itaum;Mensal;2024-01-28;False
USR-00254;Felipe Ferreira;37;Anita Garibaldi;Anual;2022-04-26;True
USR-00255;Felipe Souza;58;Anita Garibaldi;Mensal;2024-12-22;True
USR-00256;Fernanda Souza;23;Anita Garibaldi;Avulso;2024-04-16;True
USR-00257;Mateus Mendes;42;Saguaçu;Avulso;2022-06-10;True
USR-00258;Bruno Ferreira;38;Anita Garibaldi;Avulso;2022-04-07;True
USR-00259;Lucas Silva;58;Jardim Iririú;Avulso;2024-02-24;True
USR-00260;Ana Silva;64;Centro;Mensal;2023-04-23;True
USR-00261;Carlos Costa;43;Itaum;Avulso;2024-12-07;True
USR-00262;Julia Pereira;62;Iririú;Anual;2023-04-18;True
USR-00263;Rafael Santos;19;Bucarein;Mensal;2023-05-13;True
USR-00264;Larissa Pereira;34;Jardim Iririú;Avulso;2023-09-21;False
USR-00265;Leticia Oliveira;54;Saguaçu;Anual;2023-05-09;True
USR-00266;Bruno Oliveira;35;Glória;Mensal;2023-09-16;True
USR-00267;Gabriel Lima;38;Jardim Iririú;Anual;2023-02-26;False
USR-00268;Maria Lima;22;Bucarein;Mensal;2024-08-25;True
USR-00269;Felipe Mendes;52;Paranaguamirim;Anual;2023-04-12;False
USR-00270;Leticia Oliveira;48;Bucarein;Avulso;2023-07-02;False
USR-00271;Felipe Mendes;29;Glória;Anual;2024-04-24;True
USR-00272;André Mendes;25;Jardim Iririú;Anual;2022-01-09;True
USR-00273;André Silva;58;Bucarein;Mensal;2024-10-19;True
USR-00274;Beatriz Ferreira;46;Iririú;Mensal;2024-07-10;False
USR-00275;Mariana Oliveira;30;Saguaçu;Avulso;2022-04-11;True
USR-00276;Gabriel Mendes;22;Jardim Iririú;Anual;2022-07-19;True
USR-00277;Julia Lima;38;Jardim Iririú;Anual;2022-08-18;True
USR-00278;Carlos Pereira;51;Glória;Anual;2024-11-11;True
USR-00279;André Mendes;39;Itaum;Anual;2023-08-24;True
USR-00280;Carlos Santos;23;Paranaguamirim;Avulso;2024-12-16;True
USR-00281;Maria Mendes;64;Paranaguamirim;Mensal;2023-03-24;True
USR-00282;Mateus Santos;33;Itaum;Anual;2023-03-05;True
USR-00283;Maria Lima;52;Anita Garibaldi;Avulso;2024-09-16;True
USR-00284;Julia Lima;30;Bucarein;Avulso;2022-09-21;True
USR-00285;Carlos Ferreira;43;Saguaçu;Avulso;2022-09-02;True
USR-00286;Lucas Pereira;51;Anita Garibaldi;Avulso;2022-11-02;True
USR-00287;André Silva;65;Glória;Avulso;2022-07-05;False
USR-00288;Leticia Silva;55;Centro;Mensal;2024-04-03;False
USR-00289;Patricia Mendes;55;Jardim Iririú;Avulso;2024-03-01;True
USR-00290;Carlos Santos;59;Iririú;Mensal;2022-09-15;False
USR-00291;Patricia Costa;57;Paranaguamirim;Anual;2023-01-20;False
USR-00292;Felipe Santos;51;América;Anual;2024-11-20;True
USR-00293;Patricia Ferreira;17;Paranaguamirim;Mensal;2023-11-16;False
USR-00294;Rafael Souza;54;América;Mensal;2022-01-18;True
USR-00295;Pedro Ferreira;58;Glória;Anual;2024-07-01;True
USR-00296;Beatriz Silva;60;América;Avulso;2022-09-24;False
USR-00297;Leticia Costa;33;Anita Garibaldi;Anual;2023-09-10;True
USR-00298;Rafael Souza;17;Glória;Avulso;2022-09-27;True
USR-00299;Carlos Costa;27;Jardim Iririú;Avulso;2024-11-14;True
USR-00300;Fernanda Oliveira;33;Paranaguamirim;Mensal;2022-02-04;True
